"","u","predRT","predResp2","mu1hat","trial","desired_prob"
"1",1,0.680710899992846,1,0.5,1,0.82
"2",1,0.333712299994659,1,0.60481,2,0.82
"3",1,0.273868999967817,1,0.7169,3,0.82
"4",1,0.493536699970718,1,0.79692,4,0.82
"5",1,0.340175799967255,1,0.84961,5,0.82
"6",1,0.34535890002735,1,0.8849,6,0.82
"7",1,0.481283000030089,1,0.90939,7,0.82
"8",1,0.451424399972893,1,0.92697,8,0.82
"9",1,0.26232749997871,1,0.93998,9,0.82
"10",1,0.466928799985908,1,0.94986,10,0.82
"11",0,0.479513900005259,1,0.95751,11,0.82
"12",1,1.12028209998971,1,0.37987,12,0.82
"13",0,0.320531199977268,1,0.71085,13,0.82
"14",0,0.946933200000785,0,0.38264,14,0.82
"15",1,0.594496900041122,0,0.24241,15,0.82
"16",1,0.328341400017962,1,0.5575,16,0.82
"17",1,0.359586799982935,1,0.72358,17,0.82
"18",0.407608695652174,0.305509299971163,1,0.80832,18,0.82
"19",1,0.958785599970724,1,0.66264,19,0.82
"20",1,1.18848890002118,1,0.78025,20,0.82
"21",1,0.386565900000278,1,0.84243,21,0.82
"22",1,0.358027099980973,1,0.88097,22,0.82
"23",1,0.382845800020732,1,0.90691,23,0.82
"24",1,0.290431600005832,1,0.92526,24,0.82
"25",0.460526315789473,0.41310170001816,1,0.93874,25,0.82
"26",0,1.74478539999109,1,0.77325,26,0.82
"27",0,1.76376539998455,1,0.34893,27,0.82
"28",1,1.39513800002169,1,0.21581,28,0.82
"29",1,0.355667900003027,1,0.55778,29,0.82
"30",1,0.921069799980614,1,0.72774,30,0.82
"31",1,1.17376570001943,1,0.81149,31,0.82
"32",1,0.290974500006996,1,0.86091,32,0.82
"33",1,0.570206800010055,1,0.8931,33,0.82
"34",0,0.197795599990059,1,0.91536,34,0.82
"35",1,1.07066500000656,1,0.48001,35,0.82
"36",1,0.50749759998871,1,0.71422,36,0.82
"37",1,0.981753800006118,1,0.80786,37,0.82
"38",1,0.495124600012787,1,0.85952,38,0.82
"39",1,0.976775199989788,1,0.89241,39,0.82
"40",1,1.07945030002156,1,0.91495,40,0.82
"41",1,0.288595299993176,1,0.93113,41,0.82
"42",1,0.769544999988284,1,0.94315,42,0.82
"43",1,0.522960000031162,1,0.95231,43,0.82
"44",1,1.08213990001241,1,0.95945,44,0.82
"45",1,1.55026500002714,1,0.96511,45,0.82
"46",1,1.097082399996,1,0.96968,46,0.82
"47",0,0.965123100031633,1,0.97342,47,0.82
"48",0,1.25982999999542,1,0.25979,48,0.82
"49",0,0.854305499990005,0,0.14719,49,0.82
"50",1,1.80245980003383,1,0.10625,50,0.82
"51",0,0.456445799965877,1,0.55605,51,0.82
"52",1,1.31183000002056,1,0.30213,52,0.82
"53",0.40755873340143,0.639134000055492,1,0.60264,53,0.82
"54",1,1.33028049999848,1,0.52275,54,0.82
"55",0,0.666356000001542,1,0.70105,55,0.82
"56",1,0.603413000004366,1,0.42055,56,0.82
"57",1,0.408698300016113,1,0.64871,57,0.82
"58",1,0.613496000005398,1,0.76601,58,0.82
"59",1,0.239834600011818,1,0.83231,59,0.82
"60",0.348993288590604,0.315776199975517,1,0.87394,60,0.82
"61",1,0.790858099993784,1,0.68145,61,0.82
"62",0,0.41138810000848,1,0.79646,62,0.5
"63",1,0.363167800009251,1,0.4506,63,0.5
"64",1,0.538453400018625,0,0.67637,64,0.5
"65",1,0.937636099988595,1,0.78318,65,0.5
"66",1,0.293327199993655,1,0.84327,66,0.5
"67",0,0.582068800053094,1,0.88129,67,0.5
"68",0.41559424678274,0.772387600038201,1,0.49364,68,0.5
"69",0,1.21467200003099,1,0.45854,69,0.5
"70",1,1.18714120000368,1,0.28471,70,0.5
"71",0,1.30250079999678,1,0.57521,71,0.5
"72",0,0.526957299967762,1,0.34726,72,0.5
"73",1,0.421363400004338,0,0.23149,73,0.5
"74",0,0.692940499982797,1,0.54318,74,0.5
"75",0,1.07641769998008,0,0.3278,75,0.18
"76",0,0.253499300044496,0,0.22047,76,0.18
"77",0,1.2247676999541,0,0.15928,77,0.18
"78",0,0.486697499989532,0,0.12048,78,0.18
"79",0,0.433771000010893,0,0.094208,79,0.18
"80",0.295493934142114,1.09390489995712,0,0.075578,80,0.18
"81",1,1.18131639994681,1,0.13234,81,0.18
"82",1,1.05637810000917,1,0.60399,82,0.18
"83",0.599491955969517,1.74863660003757,1,0.76712,83,0.18
"84",0.552649690295939,1.87758290005149,1,0.70475,84,0.18
"85",0,0.554615700035356,1,0.64446,85,0.18
"86",0,1.68046979996143,1,0.37701,86,0.18
"87",0,0.823139099986292,0,0.24549,87,0.18
"88",0,2.54866400000174,0,0.17413,88,0.18
"89",0,2.12301059998572,0,0.13015,89,0.18
"90",0,1.04316409997409,0,0.10087,90,0.18
"91",0,0.35995280003408,0,0.08037,91,0.18
"92",1,0.699576699989848,0,0.065458,92,0.18
"93",0,1.38581130001694,1,0.54552,93,0.18
"94",0,0.979756699991412,1,0.28579,94,0.18
"95",0,1.06906770000933,0,0.19044,95,0.18
"96",1,0.384193899983075,0,0.13904,96,0.18
"97",0,1.23200080002425,1,0.51416,97,0.18
"98",0,0.418497700011358,0,0.29899,98,0.5
"99",0.236686390532545,0.321595199988224,0,0.20205,99,0.5
"100",0,1.49016739998478,0,0.21283,100,0.5
"101",1,0.45885300001828,0,0.15176,101,0.5
"102",0.0419727177334732,0.354263999965042,1,0.51997,102,0.5
"103",0,1.00288809998892,0,0.31949,103,0.5
"104",1,0.570838699990418,0,0.21358,104,0.5
"105",1,1.30985289998353,1,0.53874,105,0.5
"106",1,0.355793400027324,1,0.71558,106,0.5
"107",0.678181818181818,0.412732199998572,1,0.80403,107,0.5
"108",0,1.58436839998467,1,0.76373,108,0.5
"109",0,0.492367500031833,0,0.43225,109,0.18
"110",0,0.277471799985506,0,0.2687,110,0.18
"111",0.0726872246696035,0.215958199987654,0,0.18673,111,0.18
"112",0,1.87251219997415,1,0.15557,112,0.18
"113",0.806775407779171,1.10678349999944,0,0.1172,113,0.18
"114",0,0.40252619999228,1,0.39994,114,0.18
"115",0,0.702373799984343,0,0.24143,115,0.18
"116",0.892703862660944,0.119234999991022,0,0.16871,116,0.18
"117",0,1.39895090000937,1,0.4694,117,0.18
"118",0,0.936217000009492,0,0.28277,118,0.18
"119",0,0.798158299992792,0,0.19396,119,0.18
"120",0.655921513665031,0.616374799981713,0,0.14242,120,0.18
"121",0,1.28407699998934,1,0.33235,121,0.18
"122",0,0.365746399969794,0,0.21245,122,0.18
"123",0,0.276393600041047,0,0.15217,123,0.18
"124",0,0.325111899990588,0,0.11519,124,0.18
"125",1,0.313964999979362,0,0.090336,125,0.18
"126",0.882022471910112,1.47812889999477,1,0.51745,126,0.18
"127",0,1.53735840000445,1,0.6815,127,0.18
"128",1,0.324526700016577,0,0.3903,128,0.18
"129",0,1.61726880003698,0,0.63826,129,0.18
"130",0,0.440590699960012,0,0.38223,130,0.18
"131",0.0162513542795233,0.446676599967759,0,0.24989,131,0.18
"132",1,0.658268099999987,0,0.18128,132,0.18
"133",0,0.645597799972165,1,0.52068,133,0.18
"134",0,0.352373800007626,0,0.31059,134,0.18
"135",0,0.974912000005133,0,0.20996,135,0.18
"136",0,0.334210799948778,0,0.15255,136,0.18
"137",0,0.430914100026712,0,0.11595,137,0.18
"138",1,0.349982899962924,0,0.091019,138,0.18
"139",1,0.73318979999749,1,0.51498,139,0.5
"140",0,0.696490800008178,1,0.7264,140,0.5
"141",1,1.06402230000822,0,0.41305,141,0.5
"142",1,0.710179899993818,1,0.65237,142,0.5
"143",0,0.447929499961901,1,0.76945,143,0.5
"144",0,0.84198920003837,1,0.45579,144,0.5
"145",0.610899873257287,0.416457199957222,0,0.28355,145,0.5
